class,alcohol,malicAcid,ash,alcalinityOfAsh,magnesium,totalPhenols,flavanoids,nonFlavanoidPhenols,proanthocyanins,colorIntensity,hue,od280Od315,proline
0,13.79,1.75,2.26,20.15,97,3.14,3.14,0.36,1.48,7.71,0.84,2.07,601
0,13.21,1.52,2.47,17.01,104,2.52,1.64,0.34,1.89,9.61,1.39,2.4,1616
1,11.75,3.08,2.72,15.33,96,1.55,0.54,0.62,1.42,6.26,1.45,3.3,779
1,11.18,3.2,2.1,15.81,90,1.59,1.94,0.56,1.94,9.29,1.29,1.82,590
0,12.73,2.0,2.2,22.88,92,2.4,1.6,0.34,1.74,2.6,1.31,2.43,660
1,12.48,4.48,2.2,17.09,88,1.13,0.3,0.66,1.68,6.31,0.56,1.92,773
2,12.06,2.47,3.07,11.81,114,2.09,2.05,0.54,1.58,10.21,1.21,2.42,848
0,11.52,1.84,2.33,19.22,105,2.54,1.88,0.41,1.42,7.04,1.22,3.29,1350
2,12.29,3.86,2.48,17.44,91,1.3,0.79,0.38,2.16,9.97,0.7,1.3,865
0,14.14,1.81,1.93,20.87,78,2.49,1.33,0.4,2.31,3.95,1.44,1.88,1749
0,13.13,1.37,2.43,19.28,82,3.01,1.97,0.3,1.56,3.22,1.11,2.9,1405
0,13.34,2.14,2.46,18.21,107,2.73,1.82,0.34,1.28,3.75,1.36,2.74,1532
0,12.59,2.44,1.83,12.43,115,2.56,2.54,0.35,1.7,7.0,1.18,2.34,1228
0,13.05,1.8,2.04,16.31,91,2.17,1.75,0.37,1.55,6.01,1.23,2.76,1571
1,13.03,1.48,2.29,16.92,94,2.53,2.32,0.56,1.71,4.25,0.88,2.76,797
2,12.26,3.74,2.25,23.31,79,1.84,0.85,0.6,2.03,12.64,0.7,1.14,764
1,11.26,2.67,2.51,14.58,84,1.43,2.88,0.69,2.15,10.9,1.0,1.72,774
1,12.38,1.1,2.66,15.98,113,3.08,2.65,0.21,1.81,1.72,1.29,2.18,1431
0,13.39,1.34,2.44,15.49,82,2.89,2.13,0.66,1.31,5.09,1.06,2.15,916
2,11.2,4.55,2.56,16.48,92,1.52,0.43,0.63,2.19,11.66,1.38,1.11,861
2,11.75,3.18,2.36,22.39,80,1.27,0.74,0.64,1.81,5.22,0.91,1.88,782
0,14.17,2.13,2.08,23.0,107,2.52,2.18,0.35,2.7,5.62,1.27,2.42,1199
2,12.34,4.36,2.56,20.9,81,1.54,0.97,0.58,0.89,9.12,0.82,1.51,713
1,11.05,1.89,2.0,16.93,77,1.84,1.96,0.65,2.03,6.4,0.88,2.55,873
2,11.62,1.73,1.76,20.61,82,1.57,0.07,0.61,2.3,13.1,0.6,1.57,901
1,12.94,1.77,1.86,21.0,93,1.84,2.3,0.26,1.46,4.93,1.03,2.4,1123
1,12.11,1.44,2.43,15.82,92,2.45,2.79,0.45,1.07,6.01,1.15,3.02,1186
1,11.83,3.52,2.34,24.09,111,1.2,0.7,0.43,1.5,3.97,1.09,2.48,476
0,13.18,1.63,2.52,17.2,82,2.97,2.31,0.24,1.65,6.47,1.22,2.32,1177
2,12.11,2.08,2.35,13.49,105,1.65,0.75,0.68,1.86,8.09,0.93,1.92,737
0,12.95,2.3,1.95,18.41,109,2.57,2.02,0.35,1.51,4.01,1.18,2.7,1406
0,11.64,2.09,3.0,15.91,127,2.64,2.39,0.37,0.95,5.82,1.14,2.55,1562
2,11.01,1.46,2.67,20.45,97,1.53,2.15,0.36,0.82,6.37,0.87,2.55,814
0,13.4,1.89,2.08,15.66,71,1.99,2.58,0.35,2.16,12.04,1.25,2.47,1516
2,11.65,4.07,2.08,17.9,114,1.17,0.76,0.42,1.81,2.75,1.34,2.32,552
0,13.9,1.83,2.08,21.81,81,1.84,1.56,0.36,3.82,9.1,1.47,2.47,1666
1,10.92,2.09,2.03,14.08,90,1.33,1.22,0.64,1.69,6.24,1.03,1.9,772
0,12.93,1.79,2.76,17.74,107,2.19,0.79,0.38,2.78,5.51,1.37,2.97,1294
2,11.16,3.73,2.18,13.27,86,1.44,0.06,0.64,2.66,7.48,1.03,2.47,793
0,12.91,2.15,2.76,18.19,93,2.65,1.72,0.35,1.14,7.31,1.31,3.08,1706
0,12.99,1.91,2.02,15.9,94,2.7,1.48,0.55,1.47,4.45,1.24,2.84,657
2,11.34,3.53,2.48,12.45,97,1.37,0.44,0.59,2.11,11.46,0.66,1.99,965
0,13.06,2.19,2.23,26.97,109,2.04,2.06,0.38,2.24,7.12,1.27,2.62,752
2,12.45,3.74,2.02,16.15,98,1.58,-0.22,0.6,1.63,6.91,0.62,1.89,790
2,14.06,2.6,2.55,14.8,97,1.2,-0.28,0.68,1.91,6.56,0.79,1.46,818
1,11.32,1.52,1.88,18.8,97,1.49,1.01,0.63,1.95,7.74,1.26,3.64,478
1,12.64,3.55,2.22,20.34,119,2.57,2.37,0.42,2.68,4.69,1.14,2.35,1314
0,12.79,1.6,2.67,18.88,95,1.64,2.96,0.37,1.56,4.19,1.19,2.73,692
1,11.52,2.22,2.23,19.48,94,2.43,1.76,0.4,1.18,4.47,1.28,2.22,731
0,12.98,1.81,2.14,16.37,88,2.87,1.78,0.4,1.33,6.63,1.38,2.51,1369
2,12.34,5.35,2.47,18.13,100,1.09,-0.09,0.61,2.73,14.03,0.72,1.79,927
0,13.08,2.22,2.12,17.64,101,2.29,1.77,0.34,2.0,5.16,1.27,2.86,996
2,11.26,3.37,2.22,16.69,99,1.42,0.2,0.53,2.08,5.07,1.22,1.69,798
0,13.74,1.69,2.22,16.72,99,2.47,2.47,0.44,2.18,5.19,0.92,3.33,1824
2,13.01,1.63,2.58,17.87,86,1.79,2.01,0.45,1.74,9.58,1.19,2.92,640
2,12.06,1.42,2.05,19.27,125,2.66,2.71,0.36,1.6,1.87,1.15,2.81,674
1,13.04,1.52,2.52,14.74,92,2.78,1.86,0.61,1.29,10.74,1.21,2.97,1276
0,12.64,1.62,2.02,22.49,116,1.99,1.87,0.32,2.22,3.81,1.47,3.06,1398
0,12.68,1.3,1.84,21.0,92,2.24,2.65,0.33,0.73,3.55,1.36,2.73,997
1,13.07,3.92,2.6,20.08,109,1.7,1.72,0.38,1.84,4.96,1.04,2.64,777
0,13.84,1.26,2.51,22.6,108,2.09,1.87,0.49,1.3,3.94,1.17,2.52,535
0,13.77,1.69,2.18,17.55,77,1.69,3.79,0.44,2.13,10.41,1.19,2.52,1187
0,12.91,1.59,2.07,21.44,100,2.34,2.02,0.35,1.89,2.22,1.26,2.74,1050
1,14.29,1.69,2.77,18.47,90,2.85,3.41,0.57,1.28,9.6,1.2,2.94,1026
0,13.54,2.1,2.61,23.27,78,2.87,1.53,0.36,1.86,11.26,1.33,2.34,1645
2,11.53,2.89,2.05,12.61,94,1.58,1.38,0.62,2.41,10.07,1.1,2.03,713
1,11.28,1.79,2.27,16.85,108,1.58,1.65,0.56,1.82,3.82,1.14,2.56,1159
1,13.54,1.76,2.23,16.48,112,2.65,3.28,0.67,1.44,6.28,1.36,3.12,1437
1,12.82,1.26,2.29,16.51,116,1.96,0.06,0.6,1.72,5.54,1.06,2.62,762
1,13.02,1.59,2.3,18.08,132,2.17,0.86,0.6,1.19,5.52,1.13,2.26,1328
2,11.2,2.31,2.35,17.82,93,1.52,-0.03,0.53,1.94,5.9,0.72,1.57,827
0,12.94,1.39,2.24,15.39,115,2.98,2.59,0.33,1.51,7.32,1.26,3.0,1528
1,12.66,1.54,2.27,16.3,115,1.44,2.1,0.37,1.68,6.32,1.15,2.95,1130
2,12.36,2.82,2.28,19.66,85,1.54,0.17,0.66,1.93,8.2,0.67,1.55,716
0,12.69,2.01,2.69,19.72,109,2.59,2.17,0.61,1.23,3.99,0.95,2.85,1373
0,14.24,1.88,2.17,17.14,92,2.76,2.06,0.39,2.32,5.75,1.09,2.55,932
2,12.96,3.1,2.43,24.74,98,1.44,-0.41,0.68,2.07,10.16,0.63,1.3,656
2,12.24,1.59,2.26,19.94,82,1.14,0.74,0.52,1.15,12.03,0.86,1.08,689
0,14.09,2.64,2.29,18.11,96,2.48,1.86,0.33,1.66,6.75,1.28,2.86,1696
2,13.3,3.89,2.28,22.3,90,1.45,0.47,0.52,1.98,3.04,0.52,1.98,819
2,13.25,1.32,2.1,18.66,82,1.02,2.49,0.64,1.26,5.64,0.74,2.81,594
2,11.58,4.26,2.13,23.88,100,1.16,1.4,0.57,2.49,4.31,0.89,1.62,695
0,11.19,1.46,2.12,19.24,96,2.48,2.36,0.31,1.85,4.72,1.27,2.34,567
2,13.31,3.28,2.15,14.45,84,1.93,0.12,0.67,2.26,9.16,0.66,1.23,861
2,12.1,4.73,2.12,19.37,89,1.8,0.85,0.57,2.08,7.02,1.2,1.78,721
0,13.27,1.4,1.94,23.09,112,2.23,3.42,0.56,1.8,4.96,1.45,2.78,1081
0,13.32,2.19,2.42,14.46,89,2.08,2.75,0.39,1.76,6.26,1.12,3.07,1659
2,11.1,5.51,2.39,19.46,92,1.72,0.27,0.6,1.65,4.64,1.38,1.56,689
2,12.17,3.54,2.16,16.6,114,1.32,1.29,0.55,2.01,8.42,1.36,2.73,489
1,11.74,3.49,2.51,19.36,80,1.9,0.64,0.6,1.52,4.59,1.16,1.38,717
0,13.97,1.22,2.56,18.42,115,3.21,1.76,0.33,1.02,12.02,0.9,2.41,1536
2,12.49,5.29,2.82,20.08,93,1.4,0.21,0.59,1.05,11.2,0.89,1.09,699
2,12.29,2.9,1.73,15.64,94,1.18,0.54,0.38,1.72,3.34,0.55,1.96,763
0,14.74,2.03,2.19,14.54,116,2.54,1.84,0.41,2.44,6.28,1.4,2.12,1531
2,11.35,4.14,2.4,21.13,104,1.78,1.91,0.64,1.84,6.32,1.41,1.58,668
1,13.18,3.85,2.05,23.14,94,1.8,0.35,0.54,1.12,9.78,0.97,2.28,537
0,13.13,1.72,2.23,19.01,104,2.56,1.09,0.38,1.29,3.85,1.05,3.3,1213
0,13.41,2.45,1.93,15.02,85,2.52,3.13,0.35,1.73,7.8,1.44,2.25,1630
2,11.07,3.56,2.26,14.93,89,1.64,0.11,0.6,2.13,8.16,0.78,1.31,940
2,11.06,3.37,2.07,24.68,90,1.64,0.36,0.45,2.24,3.92,0.68,2.77,733
0,12.97,1.44,2.65,20.45,114,2.35,2.39,0.55,0.42,9.0,0.98,2.62,1507
2,10.57,2.98,1.75,15.17,83,1.46,0.69,0.37,1.87,7.36,0.8,1.52,744
2,11.49,4.4,2.74,25.9,81,1.32,0.05,0.74,1.78,13.61,1.01,1.09,889
0,11.99,1.62,2.08,19.54,115,1.71,2.63,0.54,1.71,5.6,1.19,2.85,641
0,11.58,1.39,1.84,19.19,110,1.45,2.4,0.58,2.19,3.42,0.78,2.72,706
2,12.38,3.78,2.09,23.06,76,1.74,0.2,0.7,1.44,10.05,0.79,1.4,813
2,12.95,2.22,2.37,18.29,103,1.96,2.64,0.44,1.98,4.93,0.98,2.9,1594
2,11.97,1.43,2.15,15.38,98,1.49,1.04,0.53,1.66,3.09,1.13,1.56,649
0,14.23,2.3,2.39,22.39,94,1.8,2.87,0.28,1.94,5.18,1.1,2.79,1192
1,10.66,3.14,2.22,16.42,91,2.34,2.24,0.5,1.35,5.62,1.13,2.54,707
0,12.78,1.43,2.33,20.8,108,2.24,1.41,0.28,1.72,6.13,1.44,2.07,1189
0,13.91,2.2,2.68,24.71,109,2.97,2.04,0.39,1.4,7.72,1.48,2.66,1310
1,12.13,1.69,2.17,19.79,95,2.25,3.33,0.54,1.81,3.08,1.25,3.13,635
0,11.73,1.39,2.38,18.38,93,1.85,0.56,0.63,2.15,5.7,1.03,2.76,599
2,12.22,4.57,2.01,18.31,88,1.32,0.48,0.6,1.52,8.04,1.31,1.19,744
0,13.32,1.28,1.9,14.16,95,1.55,2.72,0.39,2.12,6.19,1.36,2.78,637
1,13.59,3.19,2.34,20.22,97,2.59,2.41,0.24,2.16,5.45,0.74,1.28,569
2,11.9,2.37,2.35,21.87,78,1.55,0.94,0.62,2.5,10.87,0.79,1.49,669
2,12.44,2.17,2.47,19.18,118,1.69,0.17,0.36,1.89,3.18,1.23,1.57,763
2,13.42,1.56,2.11,16.32,110,2.13,3.37,0.62,1.57,8.49,1.4,2.71,382
1,11.71,2.34,2.17,13.38,103,1.29,2.18,0.59,1.56,9.74,0.88,2.16,833
0,12.35,1.92,2.32,18.37,91,2.8,2.37,0.37,2.16,3.58,1.25,2.41,1029
2,13.32,1.96,2.74,17.65,108,2.67,2.17,0.39,1.3,5.78,1.14,2.5,1323
2,11.71,4.51,2.38,20.68,99,1.28,0.9,0.56,2.08,3.8,1.27,1.88,440
1,11.78,3.54,2.58,14.97,116,2.33,3.1,0.27,2.06,6.13,1.14,3.56,1338
2,12.42,2.78,2.36,13.35,90,2.5,0.91,0.55,1.22,4.71,0.52,1.44,789
1,12.41,2.08,2.34,21.75,112,2.48,-0.38,0.65,0.85,6.06,1.31,3.23,665
0,13.3,2.11,2.61,15.44,103,2.22,2.77,0.34,1.29,5.67,0.99,2.35,1413
2,11.57,3.49,2.32,11.07,98,1.72,0.6,0.53,1.63,9.99,1.14,1.36,779
1,11.96,2.04,2.15,13.15,91,1.61,0.48,0.6,1.91,6.38,0.65,1.6,882
2,13.66,1.26,1.86,18.6,88,1.41,0.57,0.56,2.62,5.46,0.59,1.5,922
1,12.23,3.48,2.39,25.22,113,1.61,0.4,0.62,2.26,11.26,1.16,2.32,812
2,11.0,1.97,2.18,22.55,86,1.57,0.03,0.5,2.45,11.51,0.63,1.15,931
0,12.4,1.83,2.14,21.26,119,1.42,-0.04,0.63,2.08,5.9,1.43,2.77,741
0,13.25,2.02,2.14,25.24,105,2.19,2.38,0.36,1.8,6.75,1.33,2.99,1472
2,11.88,2.49,2.29,18.35,83,1.48,1.0,0.61,1.46,6.07,0.67,1.82,827
2,11.22,3.14,1.96,24.17,91,1.46,0.76,0.56,1.67,1.7,1.07,1.86,430
0,14.49,1.81,2.53,17.31,87,2.79,2.09,0.4,1.96,5.7,1.29,3.43,1323
0,12.07,1.4,2.44,15.18,114,2.02,2.21,0.32,2.56,6.0,1.13,2.86,1155
2,12.2,2.44,2.08,18.33,76,2.05,0.03,0.58,2.08,7.36,1.05,1.54,942
0,12.86,1.44,2.81,19.78,88,3.26,3.06,0.25,1.12,4.5,1.31,3.18,1111
0,13.39,1.68,2.36,14.72,104,2.74,1.66,0.37,2.09,5.8,0.88,3.17,683
0,13.45,1.43,2.16,19.23,94,2.75,2.0,0.33,1.48,4.24,1.21,2.58,1261
0,13.46,2.03,2.46,17.93,115,2.04,1.86,0.4,1.7,5.74,1.25,2.78,1144
0,12.69,1.45,2.96,14.01,91,2.85,2.32,0.35,1.62,7.64,1.32,2.41,1357
0,13.48,2.46,2.26,22.32,101,2.14,0.98,0.41,1.4,5.58,1.36,2.0,1588
0,12.88,2.28,2.69,18.84,84,3.18,1.09,0.42,1.23,5.91,1.35,2.46,1429
1,13.67,2.21,2.27,19.25,82,1.78,2.44,0.31,1.23,10.93,0.99,3.02,1188
0,12.74,2.15,2.72,14.64,85,2.76,1.78,0.38,1.1,7.43,1.17,2.41,1490
0,13.54,1.65,2.5,19.02,97,3.01,2.16,0.34,1.13,6.51,0.99,2.22,1469
0,14.04,1.96,2.75,19.82,81,2.49,0.96,0.44,2.96,8.04,1.28,2.88,1285
0,13.04,2.07,3.03,23.42,94,2.59,2.59,0.38,1.71,8.07,1.36,3.05,1331
2,11.39,1.76,2.49,17.38,101,1.52,0.57,0.72,0.93,5.56,0.62,1.45,825
2,12.57,4.06,2.37,19.88,100,1.38,2.23,0.62,1.2,8.69,0.6,2.43,548
1,11.03,2.42,1.91,16.48,95,1.55,3.59,0.58,1.34,1.0,0.85,1.33,532
0,13.1,1.72,2.23,16.22,93,2.31,2.37,0.34,2.26,11.5,1.05,2.62,714
2,11.1,3.33,1.78,16.71,89,1.69,0.36,0.5,1.47,3.26,0.68,1.15,899
0,13.14,2.09,2.32,23.79,107,2.05,2.09,0.39,1.62,11.38,1.23,2.65,1394
2,11.55,2.62,2.09,13.45,95,1.23,0.8,0.55,1.36,9.74,0.85,1.97,700
0,13.97,1.85,2.59,16.92,110,3.16,2.71,0.51,2.31,5.47,0.88,2.39,1499
2,12.04,3.29,2.5,19.75,102,1.58,0.36,0.66,2.28,6.27,0.64,1.45,896
1,11.14,1.9,2.16,21.05,100,1.26,0.52,0.56,1.39,4.19,0.82,2.9,1613
0,14.02,1.76,2.32,19.39,89,2.28,2.53,0.39,1.72,6.16,1.39,2.74,1264
2,11.52,3.76,2.45,22.97,88,1.5,0.42,0.67,1.63,12.05,0.73,1.45,720
2,12.24,3.13,2.26,23.72,98,1.08,0.09,0.52,2.08,11.87,0.9,1.5,771
0,14.04,2.06,2.02,21.84,91,2.66,0.67,0.34,3.93,5.86,1.56,2.17,1497
0,13.28,4.39,2.36,18.18,126,2.4,2.18,0.73,2.52,13.08,1.14,3.14,1430
0,13.33,1.8,1.67,16.64,77,2.46,3.32,0.33,1.8,5.33,1.29,2.83,1052
0,12.77,1.96,2.18,17.94,116,2.29,1.27,0.48,2.06,4.69,1.35,2.11,1279
2,12.35,2.47,2.07,19.12,95,1.72,-0.1,0.68,1.82,6.82,0.56,0.86,825
2,13.39,2.49,2.24,21.7,113,1.88,0.73,0.21,1.54,10.68,0.64,2.47,648
2,11.15,2.13,2.67,16.79,97,1.48,1.1,0.64,1.88,5.97,0.75,1.42,658
0,13.65,1.76,1.98,17.12,74,2.79,2.06,0.4,1.83,3.11,1.34,2.85,1539
2,12.24,4.16,2.57,15.14,98,1.46,-0.87,0.64,1.76,7.54,0.97,2.46,811
0,13.12,1.36,2.55,19.0,107,2.04,2.08,0.36,1.56,6.31,1.37,2.54,1137
2,13.51,1.48,2.38,16.72,91,1.83,0.36,0.64,1.24,8.87,1.39,2.61,585
2,11.43,3.14,2.45,17.21,96,1.86,1.27,0.44,0.81,7.76,1.24,1.56,641
1,12.82,1.96,2.13,19.71,93,2.93,3.3,0.37,1.37,3.53,1.27,1.99,1184
1,11.88,1.41,2.39,21.09,102,2.67,2.49,0.37,1.68,4.89,1.05,2.63,489
1,11.84,3.08,2.5,17.79,100,1.29,3.24,0.62,1.32,5.04,0.9,2.96,556
0,12.52,1.63,2.81,14.29,90,1.77,2.7,0.4,1.7,9.35,1.16,3.48,1277
2,11.97,3.92,2.14,16.39,78,1.4,1.16,0.51,1.62,9.62,0.55,1.28,913
0,12.69,1.71,2.57,17.26,96,1.64,1.53,0.56,1.99,9.45,1.01,1.5,672
0,13.06,1.91,2.64,14.36,116,1.56,3.36,0.37,1.86,4.28,0.98,2.82,751
0,13.47,1.92,2.13,15.79,88,2.03,1.8,0.31,1.17,5.6,1.37,1.92,1449
0,13.7,1.78,2.13,17.31,100,2.84,2.19,0.35,3.27,6.52,0.92,2.46,1542
2,12.94,2.83,2.1,20.48,75,1.97,0.09,0.55,2.69,11.32,0.76,1.02,1023
2,11.91,3.1,1.94,20.2,83,1.36,0.91,0.64,1.54,3.57,0.76,1.54,974
1,11.3,1.18,2.06,17.67,84,1.4,1.07,0.65,1.73,7.33,1.12,1.64,771
2,11.41,4.03,2.37,18.85,101,1.75,1.27,0.72,1.53,9.8,1.09,1.38,1359
1,11.86,2.16,2.31,13.42,93,1.78,3.99,0.35,1.25,3.11,1.09,2.98,622
1,12.23,2.25,2.2,22.49,119,2.49,1.52,0.53,2.12,4.04,1.09,3.16,1150
1,11.27,1.45,2.13,22.13,104,2.29,2.47,0.35,1.35,2.79,1.39,2.06,1341
0,11.64,1.86,2.16,21.72,92,1.5,1.5,0.59,1.36,5.97,0.93,2.72,470
0,12.69,1.69,2.3,16.4,108,3.03,1.79,0.38,1.55,5.64,1.11,2.79,1535
0,12.62,1.78,2.23,20.58,92,2.66,2.97,0.72,1.01,3.8,1.24,1.07,694
1,13.0,1.49,2.54,20.12,103,2.61,2.04,0.47,1.37,2.62,1.28,2.79,712
2,12.61,1.52,2.16,22.0,100,2.21,0.72,0.66,1.26,6.92,1.26,1.62,442
2,12.6,3.62,2.55,18.55,89,2.86,2.82,0.58,1.31,6.36,1.12,2.56,651
1,12.88,2.19,1.91,19.45,104,2.28,2.85,0.38,1.56,2.82,1.1,2.35,1413
2,13.53,0.94,2.31,17.57,112,2.17,3.02,0.32,2.31,3.78,1.23,2.3,1204
2,13.08,3.78,2.22,18.18,105,1.92,0.51,0.59,1.54,4.26,1.3,1.51,732
0,13.77,2.04,2.06,18.58,105,2.32,1.89,0.34,1.72,6.95,1.22,2.66,1589
2,11.1,5.02,1.91,19.3,74,1.53,0.64,0.55,2.19,6.87,0.92,1.86,641
1,11.3,1.56,2.55,18.73,108,2.38,2.07,0.34,1.55,10.68,1.19,2.64,1640
2,11.7,2.43,2.2,17.83,95,1.47,0.48,0.48,2.07,8.91,0.78,1.16,818
2,12.63,1.79,2.64,20.61,116,1.82,0.72,0.65,0.72,7.94,1.34,2.36,642
1,12.67,1.65,1.96,10.92,125,2.18,0.53,0.65,2.38,7.64,1.01,2.91,835
2,11.18,4.03,2.35,15.46,108,2.15,-0.21,0.42,1.91,5.09,1.14,1.31,723
0,13.07,2.28,2.08,23.74,95,2.06,2.48,0.3,1.79,4.36,1.38,3.03,1475
2,12.26,1.76,2.76,23.74,90,1.57,0.36,0.6,1.58,6.68,1.17,1.32,766
0,13.41,2.42,2.07,18.95,95,1.91,1.63,0.4,0.8,7.21,1.35,2.94,975
1,13.42,2.26,2.27,17.45,112,3.26,1.27,0.64,1.84,9.07,1.21,2.88,1762
0,11.57,2.18,2.51,20.66,80,3.25,3.59,0.63,1.38,7.52,1.04,2.5,579
0,11.56,1.42,2.09,17.93,97,2.65,2.33,0.32,1.45,4.78,1.24,2.65,617
0,12.89,1.53,2.15,17.13,98,1.61,1.98,0.33,1.6,7.01,1.24,2.46,1546
0,13.49,2.37,2.39,13.28,100,2.76,2.1,0.31,2.12,6.61,1.14,2.66,1387
2,12.32,3.63,2.36,23.67,91,1.44,1.57,0.63,2.04,4.45,0.7,2.13,676
2,10.86,3.02,2.37,15.41,94,2.8,0.72,0.71,1.91,4.26,1.02,1.35,862
1,13.25,1.44,2.11,17.05,96,2.06,2.4,0.35,1.42,4.05,1.22,3.31,1222
2,11.3,4.2,1.81,17.85,83,1.65,1.11,0.65,1.74,6.14,1.07,1.59,468
2,13.51,1.9,2.63,19.43,128,1.23,1.81,0.5,2.14,5.17,0.67,1.49,670
0,11.26,2.24,2.1,20.84,96,3.19,3.01,0.31,1.67,4.88,1.27,2.75,1055
0,13.11,2.99,2.39,16.5,113,1.81,0.7,0.37,2.01,10.38,0.9,1.15,743
2,12.22,0.97,2.27,15.13,83,1.3,1.53,0.52,2.31,7.5,1.2,1.55,633
1,13.14,1.27,1.75,14.0,97,1.81,3.0,0.29,2.2,4.5,0.7,2.93,857
1,10.89,4.9,2.08,17.17,87,1.24,1.06,0.61,2.09,5.2,0.77,3.54,662
0,12.97,1.91,2.06,17.76,85,2.73,1.95,0.7,1.5,1.46,1.05,2.74,830
1,13.44,2.02,1.56,18.73,118,1.54,2.27,0.34,2.7,4.35,1.2,2.93,843
2,11.87,2.45,2.11,12.85,102,1.5,0.44,0.48,2.44,3.92,0.73,2.03,555
0,13.17,1.25,2.32,18.41,104,2.44,2.5,0.4,1.9,3.28,1.0,2.86,1380
2,12.03,4.01,2.27,16.31,104,1.72,0.08,0.59,1.97,10.14,0.86,1.66,691
